ParentEduc,IsFirstChild,NrSiblings,MathScore,ReadingScore,WritingScore,PracticeSport,ParentMaritalStatus,LunchType,TestPrep,TransportMeans,WklyStudyHours,EthnicGroup,Gender
some high school,yes,4.0,71,71,67,2.0,3.0,1.0,0.0,2.0,1.0,5.0,1.0
associate's degree,no,3.0,66,70,69,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
associate's degree,yes,0.0,54,66,66,1.0,2.0,1.0,0.0,1.0,2.0,4.0,0.0
some college,yes,3.0,74,67,62,3.0,2.0,1.0,0.0,0.0,1.0,5.0,1.0
bachelor's degree,yes,2.0,72,65,58,3.0,2.0,1.0,0.0,0.0,1.0,5.0,1.0
some high school,yes,2.0,86,93,90,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
associate's degree,yes,1.0,66,63,59,2.0,2.0,1.0,0.0,2.0,2.0,3.0,1.0
some college,yes,4.0,77,79,77,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0
some college,yes,2.0,70,78,77,2.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0
some high school,no,2.0,71,66,70,3.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0
some college,yes,1.0,81,97,96,3.0,3.0,1.0,0.0,0.0,1.0,4.0,0.0
high school,yes,2.0,69,79,75,1.0,2.0,1.0,2.0,2.0,0.0,2.0,1.0
some high school,yes,1.0,56,53,50,1.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0
some college,yes,4.0,76,74,75,0.0,2.0,1.0,0.0,1.0,1.0,5.0,0.0
VeriYok,no,2.0,68,73,76,3.0,2.0,1.0,0.0,2.0,1.0,3.0,0.0
high school,yes,3.0,97,88,89,2.0,3.0,1.0,2.0,2.0,1.0,4.0,1.0
some high school,no,5.0,66,79,75,3.0,3.0,1.0,0.0,1.0,0.0,3.0,0.0
some college,yes,2.0,71,89,83,3.0,2.0,0.0,0.0,2.0,2.0,3.0,0.0
high school,no,3.0,67,58,60,3.0,3.0,1.0,2.0,1.0,0.0,2.0,1.0
high school,yes,3.0,71,83,78,2.0,2.0,0.0,0.0,1.0,1.0,5.0,0.0
associate's degree,yes,0.0,78,91,93,3.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0
some college,yes,2.0,63,66,69,3.0,3.0,1.0,2.0,1.0,1.0,4.0,0.0
some high school,no,4.0,83,85,87,2.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0
high school,yes,3.0,71,83,81,3.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0
some college,no,2.0,72,79,80,0.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0
high school,no,1.0,77,68,64,3.0,2.0,0.0,0.0,1.0,0.0,4.0,1.0
associate's degree,VeriYok,4.0,85,86,85,3.0,3.0,1.0,2.0,2.0,0.0,4.0,1.0
bachelor's degree,yes,4.0,54,66,67,3.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0
high school,yes,1.0,61,72,72,2.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0
some high school,yes,1.0,84,77,65,3.0,1.0,1.0,0.0,2.0,2.0,5.0,1.0
some high school,no,2.0,76,79,81,3.0,2.0,1.0,2.0,1.0,0.0,4.0,0.0
bachelor's degree,yes,3.0,71,82,85,3.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0
high school,yes,4.0,62,61,64,2.0,2.0,1.0,0.0,2.0,0.0,4.0,0.0
some high school,yes,1.0,36,53,52,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
high school,no,1.0,78,65,67,3.0,4.0,1.0,2.0,0.0,0.0,4.0,1.0
some college,yes,1.0,69,80,81,1.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0
high school,yes,3.0,51,50,54,3.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0
associate's degree,yes,2.0,60,60,58,3.0,2.0,0.0,0.0,1.0,2.0,5.0,1.0
high school,yes,0.0,99,86,79,3.0,2.0,1.0,0.0,2.0,2.0,5.0,1.0
some high school,yes,1.0,57,73,74,2.0,2.0,1.0,2.0,1.0,0.0,3.0,0.0
some college,yes,1.0,94,92,88,2.0,3.0,1.0,0.0,1.0,0.0,5.0,0.0
some college,yes,2.0,51,63,65,3.0,2.0,1.0,2.0,1.0,1.0,4.0,0.0
some high school,yes,1.0,31,36,30,2.0,3.0,0.0,0.0,2.0,1.0,3.0,0.0
VeriYok,yes,1.0,41,65,60,3.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0
some college,yes,3.0,72,58,55,3.0,2.0,1.0,0.0,1.0,2.0,5.0,1.0
associate's degree,no,2.0,69,82,77,3.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0
some college,yes,2.0,55,65,59,3.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0
high school,yes,1.0,84,84,85,2.0,2.0,1.0,2.0,2.0,0.0,5.0,0.0
associate's degree,yes,4.0,61,75,71,3.0,3.0,0.0,0.0,2.0,2.0,4.0,0.0
high school,yes,0.0,72,77,66,2.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0
associate's degree,yes,1.0,79,87,78,3.0,2.0,0.0,0.0,2.0,2.0,4.0,0.0
some college,no,3.0,65,73,68,3.0,2.0,0.0,1.0,1.0,0.0,3.0,1.0
master's degree,no,2.0,56,64,70,3.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0
some college,no,1.0,48,56,61,3.0,1.0,1.0,2.0,1.0,1.0,4.0,0.0
some college,yes,4.0,83,82,83,2.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0
VeriYok,VeriYok,2.0,72,64,63,3.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0
some high school,no,1.0,74,75,81,0.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0
bachelor's degree,yes,5.0,77,96,89,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0
VeriYok,yes,2.0,69,65,66,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
associate's degree,yes,2.0,79,86,89,3.0,3.0,1.0,0.0,1.0,0.0,3.0,0.0
high school,no,1.0,78,87,83,3.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0
some high school,yes,2.0,64,80,85,3.0,2.0,1.0,2.0,1.0,0.0,4.0,0.0
some high school,yes,1.0,86,89,89,3.0,1.0,1.0,0.0,2.0,0.0,4.0,0.0
bachelor's degree,no,2.0,64,72,77,0.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0
some high school,yes,1.0,76,69,69,3.0,3.0,0.0,2.0,0.0,0.0,3.0,1.0
some high school,no,1.0,53,77,79,1.0,2.0,0.0,2.0,2.0,1.0,4.0,0.0
associate's degree,yes,1.0,47,59,67,3.0,4.0,1.0,2.0,1.0,1.0,1.0,0.0
some high school,yes,2.0,62,76,69,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
high school,yes,3.0,89,76,73,3.0,2.0,1.0,1.0,2.0,0.0,4.0,1.0
bachelor's degree,yes,3.0,58,68,69,3.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
some college,yes,2.0,53,55,57,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
master's degree,no,2.0,66,86,82,2.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0
associate's degree,yes,4.0,87,95,98,3.0,2.0,0.0,2.0,2.0,1.0,3.0,0.0
VeriYok,yes,7.0,51,56,60,3.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0
associate's degree,no,3.0,59,62,68,2.0,1.0,1.0,2.0,2.0,1.0,4.0,0.0
VeriYok,yes,3.0,83,92,88,3.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0
VeriYok,VeriYok,2.0,75,82,75,3.0,2.0,1.0,0.0,1.0,1.0,5.0,0.0
associate's degree,yes,1.0,77,86,81,3.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0
some college,no,4.0,72,77,74,3.0,2.0,1.0,2.0,2.0,1.0,5.0,0.0
some college,yes,4.0,83,75,82,3.0,4.0,1.0,2.0,2.0,0.0,4.0,1.0
high school,yes,2.0,35,32,29,2.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0
some high school,no,1.0,85,91,89,3.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0
bachelor's degree,no,6.0,86,73,78,2.0,3.0,1.0,2.0,1.0,0.0,4.0,1.0
some high school,yes,2.0,55,62,64,2.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0
some college,yes,3.0,67,77,70,1.0,3.0,1.0,0.0,1.0,0.0,4.0,1.0
high school,no,2.0,50,56,61,3.0,2.0,0.0,2.0,2.0,1.0,4.0,1.0
master's degree,yes,4.0,81,76,76,2.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0
VeriYok,yes,5.0,63,76,78,3.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0
some high school,no,1.0,86,88,89,3.0,1.0,1.0,0.0,2.0,0.0,4.0,0.0
some college,yes,7.0,74,58,60,2.0,1.0,1.0,0.0,2.0,0.0,4.0,1.0
some college,yes,3.0,74,73,65,3.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0
high school,yes,1.0,63,75,79,2.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0
master's degree,yes,2.0,33,43,48,1.0,2.0,1.0,0.0,2.0,2.0,3.0,0.0
some high school,no,2.0,76,81,79,1.0,3.0,1.0,0.0,0.0,1.0,4.0,0.0
associate's degree,no,3.0,77,84,80,3.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0
some college,yes,1.0,64,61,65,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
bachelor's degree,yes,2.0,70,87,78,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
some college,yes,0.0,100,94,99,2.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0
some high school,yes,4.0,64,58,52,2.0,2.0,1.0,0.0,1.0,0.0,5.0,1.0
some high school,yes,2.0,81,70,68,1.0,2.0,1.0,0.0,2.0,0.0,4.0,1.0
some high school,yes,0.0,65,74,75,2.0,2.0,1.0,0.0,2.0,3.0,2.0,0.0
associate's degree,yes,3.0,54,57,56,1.0,4.0,1.0,1.0,2.0,0.0,3.0,0.0
bachelor's degree,yes,1.0,66,65,69,3.0,3.0,1.0,2.0,2.0,1.0,4.0,1.0
some high school,no,4.0,66,69,71,2.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0
high school,yes,1.0,46,43,44,1.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0
bachelor's degree,no,3.0,50,80,79,2.0,2.0,0.0,2.0,1.0,0.0,4.0,0.0
some college,yes,1.0,76,69,70,3.0,3.0,1.0,0.0,1.0,1.0,3.0,1.0
master's degree,yes,2.0,52,69,75,2.0,2.0,1.0,1.0,0.0,1.0,5.0,0.0
some college,yes,0.0,83,88,90,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0
VeriYok,no,1.0,32,35,40,3.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0
high school,no,1.0,61,67,63,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0
high school,yes,2.0,72,81,83,2.0,2.0,0.0,2.0,2.0,0.0,3.0,0.0
some college,yes,4.0,52,65,57,3.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0
associate's degree,no,2.0,65,67,68,2.0,2.0,0.0,2.0,1.0,1.0,3.0,1.0
associate's degree,yes,1.0,75,65,63,2.0,2.0,0.0,0.0,2.0,0.0,5.0,1.0
some college,yes,4.0,80,93,96,2.0,4.0,1.0,0.0,2.0,0.0,3.0,0.0
VeriYok,yes,3.0,68,84,83,2.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0
some college,no,2.0,70,72,71,2.0,2.0,0.0,2.0,2.0,2.0,4.0,1.0
bachelor's degree,yes,2.0,62,76,71,3.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0
high school,yes,1.0,69,70,71,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0
associate's degree,no,7.0,94,86,76,3.0,1.0,1.0,0.0,1.0,2.0,5.0,1.0
high school,yes,3.0,64,80,75,3.0,2.0,0.0,2.0,1.0,0.0,3.0,0.0
master's degree,yes,2.0,78,74,77,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0
master's degree,no,1.0,50,66,69,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0
some high school,yes,3.0,86,82,84,2.0,2.0,1.0,0.0,2.0,1.0,5.0,0.0
VeriYok,no,3.0,47,58,62,1.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0
some high school,yes,3.0,28,36,34,2.0,2.0,0.0,2.0,2.0,0.0,3.0,0.0
some college,yes,3.0,36,35,35,3.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0
high school,yes,2.0,90,89,86,2.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0
high school,no,1.0,64,64,70,3.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0
bachelor's degree,yes,4.0,74,90,83,3.0,2.0,1.0,0.0,1.0,3.0,1.0,0.0
bachelor's degree,no,2.0,95,85,92,2.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0
high school,no,2.0,42,60,50,3.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0
some college,no,2.0,70,59,55,1.0,2.0,1.0,0.0,2.0,0.0,5.0,1.0
associate's degree,no,2.0,80,93,85,3.0,3.0,1.0,0.0,1.0,1.0,4.0,0.0
some college,yes,3.0,78,65,74,1.0,3.0,1.0,2.0,2.0,2.0,4.0,1.0
some high school,yes,0.0,85,85,84,2.0,2.0,0.0,0.0,2.0,0.0,5.0,0.0
some college,yes,0.0,97,84,82,1.0,2.0,1.0,2.0,2.0,0.0,5.0,1.0
high school,yes,1.0,64,67,71,3.0,3.0,0.0,0.0,1.0,0.0,5.0,0.0
high school,yes,2.0,82,77,80,2.0,2.0,1.0,0.0,1.0,2.0,3.0,0.0
associate's degree,yes,4.0,97,92,90,3.0,2.0,1.0,2.0,1.0,0.0,5.0,1.0
VeriYok,yes,2.0,77,85,88,2.0,2.0,0.0,2.0,2.0,2.0,5.0,0.0
high school,no,3.0,66,79,81,3.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0
associate's degree,no,3.0,58,65,66,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
some college,yes,2.0,53,57,53,2.0,2.0,0.0,0.0,1.0,0.0,4.0,1.0
associate's degree,no,4.0,38,63,63,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0
some college,yes,3.0,94,82,82,2.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0
master's degree,no,2.0,79,93,92,3.0,2.0,1.0,0.0,2.0,2.0,3.0,0.0
some college,no,3.0,75,83,83,1.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0
bachelor's degree,yes,1.0,82,74,70,3.0,3.0,0.0,0.0,1.0,0.0,5.0,1.0
high school,yes,0.0,80,73,69,3.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0
associate's degree,yes,2.0,59,68,62,3.0,2.0,0.0,0.0,2.0,1.0,3.0,1.0
some college,yes,2.0,56,72,68,3.0,2.0,0.0,2.0,2.0,3.0,3.0,0.0
some high school,no,2.0,53,59,60,2.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0
bachelor's degree,no,4.0,95,87,76,2.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0
associate's degree,yes,4.0,76,85,89,3.0,2.0,1.0,0.0,2.0,1.0,4.0,0.0
some high school,yes,4.0,46,72,61,3.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0
some college,yes,2.0,62,66,65,3.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0
high school,yes,0.0,36,45,46,2.0,2.0,1.0,0.0,1.0,2.0,4.0,0.0
some college,VeriYok,2.0,51,47,48,2.0,2.0,1.0,0.0,2.0,0.0,5.0,0.0
associate's degree,yes,2.0,72,72,66,3.0,2.0,1.0,0.0,1.0,1.0,5.0,1.0
bachelor's degree,yes,0.0,49,39,42,3.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0
some college,yes,3.0,63,72,69,2.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0
high school,no,3.0,67,83,76,3.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
bachelor's degree,yes,1.0,70,81,84,2.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0
associate's degree,yes,1.0,84,89,84,1.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0
some high school,no,1.0,45,60,54,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0
VeriYok,no,3.0,70,84,87,3.0,3.0,0.0,2.0,2.0,0.0,4.0,0.0
some college,yes,0.0,76,66,61,3.0,2.0,1.0,0.0,2.0,1.0,3.0,1.0
some college,yes,1.0,60,62,60,2.0,2.0,0.0,0.0,2.0,2.0,3.0,0.0
high school,yes,2.0,78,68,67,3.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0
high school,yes,2.0,55,57,62,2.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0
bachelor's degree,no,1.0,59,72,69,2.0,2.0,0.0,0.0,2.0,0.0,5.0,0.0
some high school,yes,0.0,59,51,43,3.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0
some high school,yes,4.0,65,70,66,1.0,1.0,1.0,0.0,2.0,1.0,5.0,1.0
master's degree,VeriYok,3.0,56,51,52,3.0,3.0,0.0,0.0,2.0,0.0,3.0,1.0
some high school,no,1.0,80,82,76,2.0,2.0,1.0,0.0,2.0,0.0,3.0,0.0
associate's degree,no,2.0,72,71,67,2.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0
bachelor's degree,yes,3.0,93,90,90,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
associate's degree,yes,1.0,85,78,82,3.0,2.0,1.0,2.0,1.0,0.0,3.0,1.0
VeriYok,yes,0.0,52,55,45,3.0,4.0,0.0,0.0,1.0,2.0,3.0,1.0
some high school,yes,4.0,54,49,41,2.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0
bachelor's degree,yes,2.0,68,77,79,2.0,1.0,1.0,0.0,2.0,1.0,4.0,0.0
some college,yes,3.0,71,67,59,1.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0
bachelor's degree,no,2.0,45,57,57,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0
associate's degree,no,2.0,64,70,68,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0
some high school,yes,2.0,49,64,57,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0
VeriYok,no,1.0,69,66,65,3.0,2.0,0.0,0.0,1.0,2.0,3.0,1.0
VeriYok,yes,1.0,35,42,39,1.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0
associate's degree,VeriYok,3.0,70,82,91,3.0,3.0,0.0,2.0,2.0,1.0,1.0,0.0
some high school,VeriYok,2.0,23,37,35,2.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0
associate's degree,yes,2.0,72,74,70,2.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0
some high school,yes,4.0,75,73,71,1.0,2.0,0.0,0.0,1.0,3.0,5.0,1.0
associate's degree,yes,1.0,58,62,63,2.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0
bachelor's degree,no,1.0,91,73,77,3.0,2.0,1.0,0.0,2.0,0.0,5.0,1.0
high school,yes,2.0,59,64,62,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
some college,yes,2.0,67,64,61,2.0,3.0,1.0,1.0,1.0,0.0,4.0,1.0
some high school,yes,3.0,56,62,59,2.0,3.0,0.0,0.0,2.0,0.0,4.0,0.0
high school,yes,3.0,63,69,63,3.0,1.0,1.0,2.0,2.0,0.0,3.0,1.0
some high school,VeriYok,0.0,53,54,45,3.0,3.0,0.0,0.0,2.0,2.0,3.0,1.0
associate's degree,yes,2.0,94,93,96,1.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0
associate's degree,yes,1.0,61,65,60,3.0,2.0,0.0,0.0,2.0,0.0,5.0,0.0
high school,no,1.0,79,84,73,3.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0
bachelor's degree,yes,2.0,60,70,74,3.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0
associate's degree,yes,2.0,93,98,97,1.0,3.0,1.0,2.0,1.0,0.0,3.0,0.0
some high school,yes,1.0,81,73,80,2.0,2.0,0.0,2.0,0.0,2.0,3.0,1.0
master's degree,yes,3.0,71,73,73,2.0,3.0,1.0,0.0,1.0,0.0,3.0,1.0
VeriYok,no,4.0,31,37,41,0.0,2.0,0.0,2.0,1.0,0.0,3.0,1.0
some college,yes,3.0,73,69,66,2.0,2.0,0.0,2.0,2.0,1.0,5.0,1.0
some college,yes,2.0,84,74,73,2.0,2.0,0.0,1.0,2.0,2.0,5.0,1.0
some high school,no,4.0,76,72,70,3.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0
high school,yes,3.0,75,66,63,1.0,3.0,1.0,0.0,1.0,2.0,5.0,0.0
bachelor's degree,no,2.0,69,76,77,1.0,2.0,0.0,2.0,1.0,2.0,4.0,1.0
high school,yes,3.0,66,79,82,0.0,2.0,1.0,0.0,0.0,2.0,4.0,0.0
bachelor's degree,no,3.0,67,65,67,3.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0
high school,no,1.0,87,87,77,3.0,2.0,0.0,0.0,2.0,0.0,5.0,1.0
some high school,no,1.0,74,79,79,3.0,1.0,1.0,0.0,2.0,2.0,5.0,0.0
associate's degree,yes,0.0,61,65,63,3.0,2.0,1.0,0.0,2.0,0.0,5.0,0.0
master's degree,yes,3.0,74,71,72,3.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
high school,yes,4.0,69,56,60,3.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0
some college,yes,1.0,80,67,67,1.0,3.0,1.0,0.0,1.0,2.0,5.0,1.0
associate's degree,yes,0.0,73,64,67,3.0,1.0,0.0,0.0,2.0,2.0,4.0,1.0
VeriYok,yes,2.0,47,42,44,3.0,2.0,0.0,2.0,2.0,1.0,3.0,1.0
associate's degree,no,1.0,74,80,87,2.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0
some college,no,1.0,75,64,68,3.0,2.0,1.0,2.0,0.0,0.0,4.0,1.0
bachelor's degree,VeriYok,3.0,90,82,89,2.0,2.0,1.0,2.0,1.0,0.0,4.0,1.0
some college,yes,3.0,48,45,39,3.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0
master's degree,yes,2.0,94,88,97,2.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0
some high school,yes,3.0,50,48,48,2.0,3.0,0.0,0.0,2.0,1.0,3.0,1.0
bachelor's degree,no,2.0,42,55,55,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0
some high school,yes,2.0,46,66,59,2.0,3.0,0.0,2.0,2.0,1.0,3.0,0.0
some high school,yes,3.0,36,37,44,3.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0
VeriYok,no,1.0,80,81,89,2.0,2.0,1.0,0.0,2.0,0.0,3.0,0.0
some high school,yes,2.0,59,66,61,3.0,3.0,0.0,1.0,2.0,0.0,2.0,1.0
master's degree,no,3.0,33,45,48,3.0,3.0,0.0,0.0,2.0,1.0,2.0,0.0
some college,no,2.0,33,35,36,3.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0
some high school,yes,2.0,62,76,73,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0
associate's degree,no,4.0,74,76,78,3.0,3.0,0.0,2.0,0.0,1.0,2.0,1.0
some college,yes,0.0,71,61,61,3.0,2.0,1.0,0.0,2.0,1.0,4.0,1.0
high school,no,2.0,73,72,62,2.0,3.0,0.0,0.0,2.0,2.0,4.0,1.0
associate's degree,yes,4.0,69,74,74,3.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0
high school,yes,1.0,74,68,61,3.0,2.0,0.0,0.0,1.0,0.0,4.0,1.0
associate's degree,no,4.0,47,63,65,3.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0
some high school,yes,1.0,100,94,93,0.0,3.0,1.0,0.0,0.0,2.0,5.0,0.0
associate's degree,yes,1.0,88,86,89,2.0,3.0,0.0,0.0,2.0,0.0,5.0,0.0
high school,yes,3.0,65,69,73,2.0,3.0,1.0,2.0,2.0,0.0,1.0,0.0
some college,no,4.0,67,66,66,2.0,2.0,0.0,0.0,2.0,0.0,4.0,1.0
high school,yes,4.0,52,45,48,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
some high school,yes,5.0,82,79,73,3.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0
associate's degree,yes,2.0,81,93,90,2.0,3.0,1.0,0.0,1.0,1.0,3.0,0.0
some college,yes,5.0,67,51,54,3.0,2.0,1.0,1.0,2.0,0.0,3.0,1.0
some high school,yes,3.0,31,44,41,2.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0
associate's degree,yes,2.0,58,49,52,3.0,3.0,0.0,2.0,1.0,0.0,5.0,1.0
VeriYok,yes,3.0,59,65,62,3.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0
high school,yes,4.0,70,69,74,3.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0
some high school,yes,4.0,65,83,85,3.0,3.0,0.0,2.0,2.0,2.0,2.0,0.0
high school,yes,2.0,61,71,75,3.0,2.0,0.0,2.0,2.0,0.0,3.0,0.0
master's degree,no,2.0,78,69,67,3.0,2.0,1.0,2.0,2.0,1.0,5.0,1.0
some high school,yes,0.0,46,43,43,3.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0
some high school,yes,1.0,72,66,66,2.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0
bachelor's degree,yes,1.0,77,64,69,3.0,2.0,1.0,2.0,1.0,0.0,4.0,1.0
bachelor's degree,no,3.0,82,100,99,3.0,3.0,1.0,0.0,2.0,3.0,2.0,0.0
associate's degree,yes,1.0,75,80,79,3.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0
some college,yes,1.0,53,57,60,3.0,2.0,0.0,2.0,2.0,0.0,4.0,0.0
high school,yes,2.0,71,73,81,2.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0
high school,no,3.0,53,59,64,3.0,3.0,1.0,0.0,2.0,1.0,2.0,0.0
high school,no,3.0,89,78,76,3.0,2.0,1.0,0.0,2.0,2.0,4.0,1.0
some college,no,2.0,93,96,100,2.0,2.0,0.0,2.0,1.0,2.0,5.0,1.0
associate's degree,no,1.0,82,81,78,1.0,4.0,1.0,0.0,2.0,0.0,4.0,1.0
associate's degree,yes,3.0,92,82,85,3.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0
associate's degree,no,3.0,65,57,58,1.0,3.0,1.0,0.0,2.0,2.0,3.0,1.0
VeriYok,no,1.0,38,47,47,3.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0
some college,yes,4.0,65,74,68,3.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0
some college,no,2.0,41,52,53,3.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0
high school,no,2.0,51,57,56,2.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0
master's degree,yes,0.0,56,62,56,3.0,3.0,0.0,0.0,1.0,1.0,3.0,1.0
some high school,yes,5.0,59,62,60,1.0,2.0,0.0,2.0,1.0,2.0,4.0,1.0
master's degree,no,1.0,70,63,64,3.0,3.0,1.0,0.0,1.0,3.0,2.0,1.0
associate's degree,no,1.0,67,67,67,3.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0
some high school,no,1.0,52,67,66,3.0,1.0,0.0,2.0,2.0,1.0,4.0,0.0
some college,yes,1.0,53,54,63,2.0,2.0,0.0,1.0,1.0,1.0,3.0,0.0
